"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000028527",11431.3865814473,3.0028918671323,0.663718501191289,4.52434557985425,6.05826662909129e-06,0.00723811405510682
"ENSMUSG00000026821",323.919689595142,0.634912374097312,0.1483229254363,4.2806084914364,1.86382997523368e-05,0.0204340934585809
"ENSMUSG00000055022",34.3541433467379,-1.96855809658431,0.460640950544526,-4.27351952590683,1.92411426163662e-05,0.0204340934585809
"ENSMUSG00000032854",2416.03501430695,-0.480178663970099,0.112940891510305,-4.2515926477018,2.12255669197474e-05,0.0208042938149131
"ENSMUSG00000060224",3821.75909444679,0.334784112431939,0.0788477645524805,4.24595566319587,2.17663672472412e-05,0.0208042938149131
"ENSMUSG00000024411",4938.98660649175,-0.718646970799951,0.170361166849452,-4.21837314271872,2.46071351940303e-05,0.022399523636623
"ENSMUSG00000030554",52.4466732479074,1.67701895071778,0.399011556702003,4.20293327987549,2.63478268201108e-05,0.0228938662496926
"ENSMUSG00000098650",123.422504851056,9.51726972613434,2.29469904439497,4.14750237046606,3.36121990935158e-05,0.0279361216465934
"ENSMUSG00000093930",5936.95253025631,-0.400246980902699,0.0995245646582517,-4.0215898685623,5.78066450714188e-05,0.0460429927993851
"ENSMUSG00000022112",14.8172811416307,-3.41681343260577,0.864348700531867,-3.95304977088908,7.71613793621118e-05,0.0567314203033127
"ENSMUSG00000002803",299.137099101167,1.43845812149074,0.363506326016707,3.95717493352407,7.5841391032827e-05,0.0567314203033127
"ENSMUSG00000027942",438.153577746889,1.57760555166351,0.402506005909814,3.91945841428509,8.87481721248338e-05,0.0628337058643823
"ENSMUSG00000033590",365.175457590861,-0.691363684582972,0.177335198302372,-3.89862639341422,9.67399012107663e-05,0.0660457125551789
"ENSMUSG00000036103",244.677945462667,-0.632979274340333,0.162878491619439,-3.88620540408289,0.000101823359809561,0.0671191498661919
"ENSMUSG00000073437",137.157319790765,0.690314191186574,0.182699008845388,3.77842329604953,0.000157824447957062,0.0935443078910351
"ENSMUSG00000031902",974.877225614914,-0.323820095079305,0.0855089118689561,-3.78697480767344,0.000152492554155335,0.0935443078910351
"ENSMUSG00000108290",753.048123370616,0.362187236723811,0.0960019477821076,3.77270716991967,0.000161485779472911,0.0935443078910351
"ENSMUSG00000024827",3431.34906234798,-0.524086185197708,0.138876232955073,-3.7737644091142,0.000160802621150482,0.0935443078910351
"ENSMUSG00000037369",636.949680703658,-0.347643713106764,0.092705488961477,-3.7499798232144,0.000176848799434876,0.0994306367646201
"ENSMUSG00000117310",463.223901084785,0.791432958103159,0.212466476311175,3.7249780381543,0.000195332226840547,0.10668488137954
"ENSMUSG00000032127",1105.73710792837,0.316785328729754,0.0862757954298397,3.67177523141316,0.000240871485308824,0.127902758698986
"ENSMUSG00000085121",74.6908461686808,-1.2814488319224,0.35055890517643,-3.6554450992408,0.000256736148985043,0.13264238443238
"ENSMUSG00000000561",426.272921337699,0.894275553352793,0.24649261539753,3.62800139838086,0.000285623714424168,0.143683761182431
"ENSMUSG00000078771",7.7622324638687,7.04163032837872,1.94841486215152,3.61403028952626,0.000301473819049533,0.147768551921817
"ENSMUSG00000090171",432.058859401937,-5.29569084043687,1.46809684189988,-3.60718086797576,0.000309541897434833,0.147930072784107
"ENSMUSG00000057113",2533.57918133153,0.352347710930736,0.0980792928502159,3.59247809289196,0.000327548198401321,0.152717350259504
"ENSMUSG00000111063",9.08457037619528,-6.76673078624863,1.89856992815218,-3.56411985985394,0.000365079114625267,0.162298891980851
"ENSMUSG00000024327",850.944913562379,-0.762596098329001,0.213631031457086,-3.56968785446411,0.000357406845150618,0.162298891980851
"ENSMUSG00000026064",159.204988464361,-1.54641050781927,0.43549909060444,-3.55089262223939,0.000383927018866491,0.16679883846936
"ENSMUSG00000027368",9.86133175490852,5.12974059341942,1.45896760148547,3.51600720139124,0.000438089101344727,0.18610025025124
"ENSMUSG00000039308",486.787223907158,-0.662328203139034,0.188873854411726,-3.50672254347722,0.000453661909683329,0.188526110119707
"ENSMUSG00000026971",1994.07118795557,-0.699446884267186,0.200832878613605,-3.48273096066554,0.000496326885563229,0.197662182175556
"ENSMUSG00000031465",406.419777827837,-0.816326992877306,0.234316814714041,-3.48386006302428,0.000494237826719468,0.197662182175556
"ENSMUSG00000029193",1001.27140661082,1.32248222791124,0.381375716708556,3.46766238638594,0.000525006430914915,0.204816794558561
