"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000088860",0.647801387366453,-0.163643182445632,2.72375823657869,-0.0600799220165677,0.952091980981521,NA
"ENSMUSG00000081929",0.598232371632184,-2.04397066252078,3.57646538595341,-0.571505786285107,0.567656839162326,NA
"ENSMUSG00000117642",2.56280468773558,0.404026786631853,1.05665937887649,0.382362372121696,0.702192596499076,NA
"ENSMUSG00000117640",0.21079741972928,2.09037115256302,4.33955924844224,0.481701258788756,0.630018181728967,NA
"ENSMUSG00000110164",0.1757267631288,-1.97952497641135,4.3713577214881,-0.452839850346879,0.650664065931479,NA
"ENSMUSG00000076652",0.595971286597217,1.84496733496031,4.35647874612863,0.423499675420162,0.671930735322602,NA
"ENSMUSG00000105264",1.0314051795744,0.811408396816152,2.5544981977909,0.317639056280348,0.750758744616448,NA
"ENSMUSG00000000632",0.21079741972928,2.09037115256302,4.33955924844224,0.481701258788756,0.630018181728967,NA
"ENSMUSG00000087514",0.463598120337994,1.209397156461,3.81874583561614,0.316700091737284,0.751471179177052,NA
"ENSMUSG00000043903",2.52588229211584,0.0619677948621642,1.27349940093192,0.0486594613368623,0.96119068274902,NA
"ENSMUSG00000030827",1.0543605787728,-4.56009396319764,4.26807232628708,-1.06842003007119,0.285331085759895,NA
"ENSMUSG00000082357",2.04781470989336,-0.207379118379585,1.72596585453441,-0.120152503501019,0.90436234182674,NA
"ENSMUSG00000046856",0.494650673172825,2.43529330983261,4.32006762568461,0.563716478731437,0.572947100790258,NA
"ENSMUSG00000046854",0.227701199248728,0,4.40735632394543,0,1,NA
"ENSMUSG00000108112",3.13806689216706,0.917110705268002,2.61321289938268,0.350951392243874,0.725624815108675,NA
"ENSMUSG00000108111",0.730886967961709,1.72557304345213,3.34388807842246,0.516037918430032,0.605827926083333,NA
"ENSMUSG00000026407",0.337790819681687,-2.0522698627012,4.36532610644677,-0.470129793893377,0.638262289062217,NA
"ENSMUSG00000117957",0.185990020182535,-2.0522887380222,4.36532600588247,-0.470134128643921,0.638259192288972,NA
"ENSMUSG00000047108",0.938343619496857,1.22996453181816,2.74144269428098,0.448655933747596,0.653679877673329,NA
"ENSMUSG00000098068",0.419516643426655,-0.961885985304255,4.30272013140819,-0.223552998086689,0.823105140085883,NA
"ENSMUSG00000098065",0.334748681975601,1.72830304416864,4.36555992112233,0.395894931096105,0.692182540613695,NA
"ENSMUSG00000051242",3.72686895861111,0.492051996094279,0.937741865893357,0.524720089814393,0.599777789424945,NA
"ENSMUSG00000084199",0.174690259526271,0,4.40735632395391,0,1,NA
"ENSMUSG00000106328",0.173194548111423,0,4.40735632396697,0,1,NA
"ENSMUSG00000084192",0.147632017639892,0,4.40735632395899,0,1,NA
"ENSMUSG00000084193",5.24892079646367,-0.00171953376015648,0.733895280127701,-0.00234302332596725,0.998130539573091,NA
"ENSMUSG00000084195",1.369431798655,-0.416216006025692,2.00532366405121,-0.207555525069125,0.835576033885019,NA
"ENSMUSG00002076212",0.0759003997495761,0,4.40735632396697,0,1,NA
