"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000015837",12089.0005860299,0.468569149590934,0.069132921782841,6.77780046766712,1.22019204366297e-11,3.39813143549597e-09
"ENSMUSG00000095388",5655.83666160271,0.791786774447429,0.117194674935367,6.75616682143706,1.41690270904878e-11,3.88018806873008e-09
"ENSMUSG00000017756",3110.74169648207,-0.664077551638215,0.098858864679319,-6.71743048832664,1.84956946837668e-11,4.98201244834381e-09
"ENSMUSG00000074261",1502.85528818178,-0.664900838678225,0.0991712986549188,-6.70456924227489,2.02001353268014e-11,5.10628343930268e-09
"ENSMUSG00000024070",2484.70752565294,-0.854480399549167,0.127343460079938,-6.71004540800742,1.94563859480559e-11,5.10628343930268e-09
"ENSMUSG00000020604",1502.16433475121,-0.830257744564185,0.123752120648719,-6.70903852161806,1.95910950590642e-11,5.10628343930268e-09
"ENSMUSG00000064225",4317.9407220927,-0.653721623181993,0.0974972989481967,-6.70502291073043,2.01374770174014e-11,5.10628343930268e-09
"ENSMUSG00000031278",1098.5546507056,0.748677343238251,0.112009453733059,6.68405494613425,2.32419596051945e-11,5.7861914889841e-09
"ENSMUSG00000032285",1017.24952200585,1.59756267558715,0.241594572431644,6.61257684519862,3.77686939382967e-11,9.26234940447989e-09
"ENSMUSG00000117725",284.09137024209,-0.997477266298432,0.150942939767422,-6.60830687301689,3.88740234017755e-11,9.38285629431338e-09
"ENSMUSG00000107092",1216.76019103647,-1.46632055393726,0.22195763070078,-6.60630837204241,3.94021717672462e-11,9.38285629431338e-09
"ENSMUSG00000037440",2281.21676771818,0.776441729430893,0.118291559986951,6.56379651698351,5.24547714210194e-11,1.23126335602681e-08
"ENSMUSG00000083396",1799.34142439996,1.68382781748734,0.256667454297399,6.56034798839861,5.36823539896421e-11,1.24233064563917e-08
"ENSMUSG00000038224",9478.97894827503,-0.752410449675791,0.114991056057189,-6.54320845006927,6.02128092745117e-11,1.37410648498542e-08
